the_geom,H_NO,BIN,ADDRESS_ID,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG,HN_RNG_SUF,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE
POINT (-73.972613539424 40.79659559153834),777,1057070,1047320,,N,1,V,1,10025,04/06/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,END,,,23373,,W,,AVE,,,W  END AVE
POINT (-73.9603084323711 40.757380364307444),1,1040724,1032768,,N,1,V,1,10022,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,SUTTON,,,82184,,,,PL,,,SUTTON PL
POINT (-73.92036575707492 40.83505292850836),70,2002958,5158901,,N,2,V,2,10452,01/08/2014 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,167,,,62438,,E,,ST,,,E  167 ST
POINT (-73.95984819008277 40.7771941498217),940,1046669,1036718,,N,1,V,1,10028,04/06/2009 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,PARK,,,81873,,,,AVE,,,PARK AVE
POINT (-73.96687184469214 40.772210124970776),907,1041378,5125332,,N,2,V,1,10021,07/21/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,5,,,23270,,,,AVE,,,5 AVE
POINT (-74.02012032766291 40.64997662515138),5100,3332515,5125956,,N,2,V,3,11232,08/09/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,1,,,42327,,,,AVE,,,1 AVE
POINT (-73.95269690629307 40.57749413269686),179,3246019,5126062,A,N,2,V,3,11235,08/12/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,END,,,98122,,W,,AVE,,,W  END AVE
POINT (-73.95254922010756 40.57747698311208),179,3246027,5126063,B,N,2,V,3,11235,08/12/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,END,,,98122,,W,,AVE,,,W  END AVE
POINT (-73.95270776936269 40.5775561115309),177,3246020,5126065,A,N,1,V,3,11235,08/12/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,END,,,98122,,W,,AVE,,,W  END AVE
POINT (-73.95257783421106 40.57756769423485),177,3245988,5126067,B,N,1,V,3,11235,08/12/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,END,,,98122,,W,,AVE,,,W  END AVE
POINT (-73.96182577168592 40.81024206917392),3030,1084472,5127915,,N,1,V,1,10027,11/09/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,BROADWAY,,,81600,,,,,,,BROADWAY
POINT (-73.93699438168846 40.584246620276296),3047,3247656,5136408,A,N,2,V,3,11235,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,EMMONS,,,98154,,,,AVE,,,EMMONS AVE
POINT (-73.93700105618754 40.58428140271119),3047,3247656,5136409,B,N,2,V,3,11235,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,EMMONS,,,98154,,,,AVE,,,EMMONS AVE
POINT (-73.93701211906398 40.58433905950698),3047,3247656,5136412,C,N,2,V,3,11235,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,EMMONS,,,98154,,,,AVE,,,EMMONS AVE
POINT (-73.99986243994216 40.7310534455709),39,1008759,5132909,A,N,1,V,1,10012,05/04/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,WASHINGTON,,,1266,,,,SQ,W,,WASHINGTON SQ W
POINT (-73.99984058262096 40.73104261595641),39,1008759,5132910,1/2,N,1,V,1,10012,05/04/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,WASHINGTON,,,1266,,,,SQ,W,,WASHINGTON SQ W
POINT (-73.95549956423564 40.787620832252635),1148,1047439,5136071,,N,2,V,1,10128,08/14/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,5,,,24956,,,,AVE,,,5 AVE
POINT (-73.95533108845396 40.78788733934466),1150,1051437,5136072,,N,1,V,1,10029,08/14/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,5,,,24956,,,,AVE,,,5 AVE
POINT (-73.97396475678661 40.75079102569547),675,1037549,5125349,,N,1,V,1,10017,07/21/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,3,,,73424,,,,AVE,,,3 AVE
POINT (-73.81976315077952 40.83900338051332),1277,2075140,5136351,,N,2,V,2,10465,08/24/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,STADIUM,,,90175,,,,AVE,,,STADIUM AVE
POINT (-73.86924734493796 40.678993309501784),432,3093571,5136369,,N,2,V,3,11208,08/24/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,AUTUMN,,,76562,,,,AVE,,,AUTUMN AVE
POINT (-73.923790680833 40.64654307112763),5602,3105540,5136389,,N,1,V,3,11203,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,BEVERLEY,,,96876,,,,RD,,,BEVERLEY RD
POINT (-73.93556722166034 40.653738063681224),623,3108416,5136391,,N,2,V,3,11203,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,LINDEN,,,48492,,,,BLVD,,,LINDEN BLVD
POINT (-73.96569663078144 40.64691854975299),1423,3117045,5136392,,N,2,V,3,11226,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,ALBEMARLE,,,77564,,,,RD,,,ALBEMARLE RD
POINT (-74.0343275534129 40.62916725848001),7923,3150753,5136402,,N,1,V,3,11209,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,COLONIAL,,,84775,,,,RD,,,COLONIAL RD
POINT (-73.9495089453097 40.61690817095546),3507,3254478,5136404,,N,1,V,3,11210,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,BEDFORD,,,46821,,,,AVE,,,BEDFORD AVE
POINT (-73.9494489825735 40.61654509845602),3515,3254500,5136405,,N,2,V,3,11210,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,BEDFORD,,,46821,,,,AVE,,,BEDFORD AVE
POINT (-73.9317999014777 40.62085903517019),4502,3254605,5136406,,N,1,V,3,11234,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,M,,,99097,,,AVE,,,,AVE M
POINT (-73.92513389690976 40.61063941439538),4122,3241925,5136407,,N,2,V,3,11234,08/27/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,T,,,71687,,,AVE,,,,AVE T
POINT (-73.9827689776862 40.71544746815276),500,1004065,1063012,B,N,2,V,1,10002,04/06/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,GRAND,,,73541,,,,ST,,,GRAND ST
POINT (-73.96489837518382 40.77055311781982),730,1041333,1033400,,N,2,V,1,10021,04/06/2009 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,PARK,,,21711,,,,AVE,,,PARK AVE
POINT (-73.96778922779745 40.79971577027931),2720,1056586,1046981,,N,2,V,1,10025,04/06/2009 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,BROADWAY,,,25128,,,,,,,BROADWAY
POINT (-73.94690306613775 40.771512171805966),33,1051378,1040012,,N,2,V,1,10075,04/06/2009 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,END,,,81881,,E,,AVE,,,E  END AVE
POINT (-73.95949752780109 40.77766159245605),950,1046671,1036720,,N,2,V,1,10028,04/06/2009 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,PARK,,,89913,,,,AVE,,,PARK AVE
POINT (-73.95992492076013 40.781149486192696),1049,1046842,5132310,,N,2,V,1,10028,04/07/2012 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,5,,,19748,,,,AVE,,,5 AVE
POINT (-73.91630089387921 40.869364235563964),5044,1064884,1058549,,N,2,V,1,10034,04/06/2009 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,BROADWAY,,,99918,,,,,,,BROADWAY
POINT (-73.96677791072365 40.78931201639263),322,1031636,5124729,,N,2,V,1,10025,07/03/2011 12:00:00 AM +0000,10/01/2015 12:00:00 AM +0000,CENTRAL PARK,,,97385,,,,,W,,CENTRAL PARK  W
POINT (-73.97037147270653 40.76297671865668),500,1036084,1031099,,N,2,V,1,10022,04/06/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,PARK,,,72719,,,,AVE,,,PARK AVE
POINT (-73.91078564940678 40.8621142274635),245,2015122,2026665,,N,1,V,2,10468,03/16/2009 12:00:00 AM +0000,09/01/2015 12:00:00 AM +0000,FORDHAM,,,78284,,W,,RD,,,W  FORDHAM RD
POINT (-73.91097121680271 40.81992557320953),751,2096556,2002405,,N,2,V,2,10451,03/16/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,ST ANNS,,,100810,,,,AVE,,,ST ANNS AVE
POINT (-73.934055382869 40.69122649460656),124,3043611,3054417,,N,1,V,3,11221,02/13/2009 12:00:00 AM +0000,09/21/2015 12:00:00 AM +0000,STUYVESANT,,,85460,,,,AVE,,,STUYVESANT AVE
POINT (-73.97874450768926 40.749991093921565),77,1019166,1021522,,N,2,V,1,10016,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,PARK,,,4056,,,,AVE,,,PARK AVE
